@relation Accelerometer

@attribute minMag numeric
@attribute maxMag numeric
@attribute stdMag numeric
@attribute meanMag numeric
@attribute class {Running, Walking}

@data
1.265391,36.940541,5.994971,10.967231,Walking
1.122346,25.72366,5.540353,10.117208,Walking
1.122346,40.462215,6.543918,10.68453,Walking
2.573241,41.756659,7.04224,11.850877,Walking
2.573241,41.756659,6.293438,11.279548,Walking
2.08452,29.840965,5.971057,11.509964,Walking
2.08452,36.83543,6.344283,11.824215,Walking
2.340791,36.83543,6.032962,11.601747,Walking
1.558937,46.081573,6.446383,11.190317,Walking
1.479699,46.081573,7.876945,12.181215,Walking
1.028833,42.260019,8.028921,13.066699,Walking
1.028833,36.434947,6.818679,11.525152,Walking
1.364405,30.368091,5.700693,10.80373,Walking
1.364405,33.920925,5.906514,10.794949,Walking
0.752263,33.920925,6.627847,11.592639,Walking
0.752263,33.557437,7.046819,11.947919,Walking
0.782136,34.270875,6.773629,11.62665,Walking
0.782136,39.949629,6.92373,11.55491,Walking
3.412388,48.17664,12.019451,20.504082,Running
4.251749,52.257629,12.686052,20.961033,Running
2.1635,55.222865,13.400147,21.161014,Running
2.1635,56.658281,14.602222,22.614245,Running
3.53721,59.461231,14.134195,22.047431,Running
3.358045,60.172352,13.521863,21.014455,Running
3.358045,60.172352,12.941963,20.085565,Running
4.946799,57.322883,12.695162,20.425293,Running
3.133532,57.488003,13.59044,20.256231,Running
3.133532,57.488003,13.011094,18.589429,Running
3.387933,56.02272,12.09869,17.836513,Running

