@relation Accelerometer

@attribute minMag numeric
@attribute maxMag numeric
@attribute stdMag numeric
@attribute meanMag numeric
@attribute class {Running, Walking}

@data
0.600791,43.996891,7.622894,12.386814,Walking
1.183346,43.996891,7.10657,11.22188,Walking
1.509239,43.472496,6.98244,11.579345,Walking
1.908347,43.472496,7.536649,12.358014,Walking
1.252459,41.567554,7.568019,12.55781,Walking
0.536531,41.170129,6.729027,11.507334,Walking
0.536531,25.659446,5.061715,10.327103,Walking
1.549854,27.808355,4.980327,10.385327,Walking
1.787773,37.263379,6.025159,10.715851,Walking
1.633211,42.890353,6.651558,12.015906,Walking
1.633211,42.890353,8.011484,12.607139,Walking
2.055321,42.770851,8.693781,12.944987,Walking
1.263833,45.509498,8.313884,11.895839,Walking
1.03422,45.509498,7.305671,10.92409,Walking
1.03422,37.206927,6.504074,10.987631,Walking
0.392415,32.794063,5.9563,10.532465,Walking
0.392415,37.153489,6.344595,11.314772,Walking
1.271042,37.892389,6.909181,11.97294,Walking
1.215729,40.278729,6.745666,11.582797,Walking
1.215729,41.556187,6.967504,12.377674,Walking
2.322536,41.556187,6.931219,12.035075,Walking
1.678796,42.586562,6.621183,11.083153,Walking
2.458087,55.592179,13.81973,22.350351,Running
2.032581,55.592179,13.109027,21.3423,Running
2.032581,43.760802,10.78326,17.082721,Running
2.318231,51.828463,11.552736,18.131022,Running
2.318231,51.828463,12.302383,19.57137,Running
2.564905,51.368089,12.544901,20.785635,Running
2.375376,47.359214,11.548933,20.530951,Running
0.325803,48.613191,11.115894,17.862409,Running
0.325803,50.476619,11.547613,17.859214,Running
1.557925,50.476619,12.014953,19.426437,Running
3.722011,56.018562,12.649753,19.793544,Running
3.961753,56.018562,11.739601,17.996896,Running
2.918579,52.829301,14.301704,22.507693,Running
3.240254,52.829301,13.230587,20.81524,Running
3.240254,52.238062,12.474919,19.327385,Running
4.096463,54.061063,13.284791,21.051208,Running
4.110588,54.97685,13.607162,22.541376,Running
2.973144,54.97685,13.232,21.846707,Running
2.973144,55.38691,13.086027,21.627028,Running
2.15901,56.733431,14.503105,23.050891,Running
